"Mes","Nom mes","Any","Regió Policial (RP)","Àrea Bàsica Policial (ABP)","Aeroport","Tipus de fet","Nombre"
"7","juliol","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","21"
"7","juliol","2015","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Furt (lleu)","1"
"6","juny","2015","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","5"
"6","juny","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","100"
"6","juny","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","9"
"6","juny","2015","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Robatori amb violència i/o intimidació","1"
"5","maig","2015","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"5","maig","2015","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt interior vehicle","2"
"5","maig","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","75"
"5","maig","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"5","maig","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","4"
"5","maig","2015","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Furt","1"
"4","abril","2015","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"4","abril","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","46"
"4","abril","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"4","abril","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","1"
"3","març","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","48"
"3","març","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","1"
"3","març","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","3"
"2","febrer","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","39"
"2","febrer","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","7"
"1","gener","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"1","gener","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","1"
"1","gener","2015","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","7"
"8","agost","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","92"
"8","agost","2014","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","8"
"7","juliol","2014","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","2"
"7","juliol","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","69"
"7","juliol","2014","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Furt","1"
"6","juny","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","58"
"6","juny","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","3"
"6","juny","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","1"
"6","juny","2014","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","4"
"5","maig","2014","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Furt","1"
"5","maig","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","1"
"5","maig","2014","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","47"
"5","maig","2014","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","4"
